tas	"	Year"	 Month	 Country	 ISO3	 ISO2
24.1232	1953	6	ETH		
21.9867	1953	7	ETH		
22.1684	1953	8	ETH		
22.9096	1953	9	ETH		
22.4107	1953	10	ETH		
22.9354	1953	11	ETH		
21.8215	1953	12	ETH		
22.2532	1954	1	ETH		
23.9571	1954	2	ETH		
24.4663	1954	3	ETH		
25.2138	1954	4	ETH		
24.9	1954	5	ETH		
23.5002	1954	6	ETH		
21.5839	1954	7	ETH		
21.5568	1954	8	ETH		
23.0035	1954	9	ETH		
21.9911	1954	10	ETH		
22.6127	1954	11	ETH		
21.8937	1954	12	ETH		
21.7902	1955	1	ETH		
23.0731	1955	2	ETH		
24.7538	1955	3	ETH		
24.7456	1955	4	ETH		
24.9995	1955	5	ETH		
23.7595	1955	6	ETH		
22.5398	1955	7	ETH		
21.9478	1955	8	ETH		
23.3135	1955	9	ETH		
22.3096	1955	10	ETH		
21.7852	1955	11	ETH		
21.6509	1955	12	ETH		
20.3537	1956	1	ETH		
22.3891	1956	2	ETH		
24.575	1956	3	ETH		
23.3602	1956	4	ETH		
23.8344	1956	5	ETH		
22.7199	1956	6	ETH		
21.4545	1956	7	ETH		
21.1145	1956	8	ETH		
22.0155	1956	9	ETH		
21.7274	1956	10	ETH		
20.8902	1956	11	ETH		
20.7135	1956	12	ETH		
21.0945	1957	1	ETH		
21.2454	1957	2	ETH		
22.3409	1957	3	ETH		
23.2129	1957	4	ETH		
23.2209	1957	5	ETH		
23.1164	1957	6	ETH		
21.7997	1957	7	ETH		
21.7629	1957	8	ETH		
22.619	1957	9	ETH		
22.3524	1957	10	ETH		
22.1543	1957	11	ETH		
21.4661	1957	12	ETH		
21.6093	1958	1	ETH		
21.7941	1958	2	ETH		
23.9855	1958	3	ETH		
24.4189	1958	4	ETH		
24.5163	1958	5	ETH		
23.1769	1958	6	ETH		
21.9386	1958	7	ETH		
21.9605	1958	8	ETH		
22.7906	1958	9	ETH		
22.3023	1958	10	ETH		
21.694	1958	11	ETH		
21.2863	1958	12	ETH		
21.6066	1959	1	ETH		
22.5362	1959	2	ETH		
23.2323	1959	3	ETH		
24.6078	1959	4	ETH		
23.8589	1959	5	ETH		
23.4966	1959	6	ETH		
21.8958	1959	7	ETH		
21.4181	1959	8	ETH		
22.4304	1959	9	ETH		
22.1703	1959	10	ETH		
21.6332	1959	11	ETH		
20.9755	1959	12	ETH		
20.9	1960	1	ETH		
22.3534	1960	2	ETH		
22.8463	1960	3	ETH		
23.7189	1960	4	ETH		
23.3103	1960	5	ETH		
23.0908	1960	6	ETH		
22.1377	1960	7	ETH		
22.1904	1960	8	ETH		
22.6486	1960	9	ETH		
21.9892	1960	10	ETH		
21.5089	1960	11	ETH		
21.7864	1960	12	ETH		
21.5832	1961	1	ETH		
22.3588	1961	2	ETH		
23.371	1961	3	ETH		
23.8983	1961	4	ETH		
24.3245	1961	5	ETH		
23.1691	1961	6	ETH		
21.452	1961	7	ETH		
20.8892	1961	8	ETH		
22.2098	1961	9	ETH		
21.5248	1961	10	ETH		
20.2911	1961	11	ETH		
19.9683	1961	12	ETH		
20.2892	1962	1	ETH		
21.6779	1962	2	ETH		
23.3366	1962	3	ETH		
23.76	1962	4	ETH		
23.407	1962	5	ETH		
22.5472	1962	6	ETH		
22.0781	1962	7	ETH		
21.31	1962	8	ETH		
22.3046	1962	9	ETH		
21.4581	1962	10	ETH		
21.3128	1962	11	ETH		
20.7578	1962	12	ETH		
21.1436	1963	1	ETH		
22.7384	1963	2	ETH		
24.0488	1963	3	ETH		
23.1767	1963	4	ETH		
22.955	1963	5	ETH		
22.9123	1963	6	ETH		
22.271	1963	7	ETH		
21.9558	1963	8	ETH		
22.3888	1963	9	ETH		
22.773	1963	10	ETH		
21.6953	1963	11	ETH		
20.723	1963	12	ETH		
21.0058	1964	1	ETH		
22.0444	1964	2	ETH		
23.9423	1964	3	ETH		
23.7522	1964	4	ETH		
23.4646	1964	5	ETH		
22.815	1964	6	ETH		
21.3093	1964	7	ETH		
21.183	1964	8	ETH		
21.9263	1964	9	ETH		
21.0925	1964	10	ETH		
20.5856	1964	11	ETH		
19.6342	1964	12	ETH		
20.7037	1965	1	ETH		
21.8428	1965	2	ETH		
23.137	1965	3	ETH		
23.3026	1965	4	ETH		
24.0221	1965	5	ETH		
23.2818	1965	6	ETH		
22.1341	1965	7	ETH		
21.6885	1965	8	ETH		
22.4713	1965	9	ETH		
21.7252	1965	10	ETH		
20.933	1965	11	ETH		
